Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Affected hardware),Custom field (Affected services),Custom field (Approvals),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Major incident),Custom field (Open forms),Custom field (Pending reason),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Responders),Satisfaction rating,Custom field (Satisfaction date),Custom field (Sentiment),Custom field (Severity),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time to close after resolution),Custom field (Time to done),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Total forms),Custom field (Urgency),Custom field (Vulnerability),Custom field (Work category),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Implement cloud backup and sync,OVOFOCUS-51,10794,Story,Backlog,OVOFOCUS,OvoFocus,software,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,Medium,,,,Ömer YILMAZ,5c7cf694039b847f6a382c0a,Ömer YILMAZ,5c7cf694039b847f6a382c0a,17/Jan/26 2:03 AM,17/Jan/26 2:03 AM,,,,0,"*As a* user
*I want* my data backed up to the cloud
*So that* I don't lose progress and can use multiple devices

*Acceptance Criteria:*

* User authentication (email, social login)
* Data syncs across devices
* Conflict resolution for simultaneous edits
* Sync status indicator visible
* Works offline with sync on reconnect
* Can be disabled in settings

*Technical Options:*

* Firebase
* Supabase
* Custom backend",,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4192cad4,,,,{},,,,,,,,,,,,,,0|i003rz:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,17/Jan/26 2:03 AM
Create App Store and Play Store assets,OVOFOCUS-50,10777,Task,Backlog,OVOFOCUS,OvoFocus,software,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,Medium,,,,Ömer YILMAZ,5c7cf694039b847f6a382c0a,Ömer YILMAZ,5c7cf694039b847f6a382c0a,17/Jan/26 2:03 AM,17/Jan/26 2:03 AM,,,,0,"*Objective:* Prepare all assets needed for app store submission.

*Deliverables:*

* App icon (all required sizes)
* Screenshots for iPhone (6.5"", 5.5"")
* Screenshots for iPad
* Screenshots for Android phones and tablets
* App preview video (optional)
* Feature graphic (Play Store)
* Store descriptions (EN/TR)
* Keywords and categories
* Privacy policy URL

*Requirements:*

* Follow Apple/Google screenshot guidelines
* Localize for Turkish market
* Highlight key features visually",,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5d6a1393,,,,{},,,,,,,,,,,,,,0|i003pz:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,17/Jan/26 2:03 AM
Performance optimization and profiling,OVOFOCUS-44,10755,Task,Backlog,OVOFOCUS,OvoFocus,software,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,Medium,,,,Ömer YILMAZ,5c7cf694039b847f6a382c0a,Ömer YILMAZ,5c7cf694039b847f6a382c0a,17/Jan/26 2:02 AM,17/Jan/26 2:02 AM,,,,0,"*Objective:* Ensure smooth performance on all devices.

*Tasks:*

* Profile animations on low-end devices
* Optimize Reanimated usage
* Implement list virtualization for collection
* Memoize expensive computations
* Reduce bundle size
* Add performance monitoring

*Targets:*

* 60fps animations on mid-range devices
* Collection scrolls smoothly with 100+ items
* App startup under 2 seconds
* No memory leaks",,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@39939bca,,,,{},,,,,,,,,,,,,,0|i003mv:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,17/Jan/26 2:02 AM
Add seasonal events with limited animals,OVOFOCUS-34,10733,Story,Backlog,OVOFOCUS,OvoFocus,software,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,Medium,,,,Ömer YILMAZ,5c7cf694039b847f6a382c0a,Ömer YILMAZ,5c7cf694039b847f6a382c0a,17/Jan/26 2:01 AM,17/Jan/26 2:01 AM,,,,0,"*As a* user
*I want* special seasonal events with exclusive animals
*So that* I have time-limited goals to work toward

*Acceptance Criteria:*

* Events trigger automatically by date
* Limited animals only available during events
* Event UI clearly visible
* Event-specific quests and rewards
* Past event animals shown in collection (grayed if not owned)
* Event countdown and notifications

*Events:*

* Halloween (October)
* Winter/Holiday (December)
* Spring (March/April)
* Summer (June/July)",,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2ed6565c,,,,{},,,,,,,,,,,,,,0|i003j3:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,17/Jan/26 2:01 AM
Add more power-up types,OVOFOCUS-33,10730,Story,Backlog,OVOFOCUS,OvoFocus,software,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,Medium,,,,Ömer YILMAZ,5c7cf694039b847f6a382c0a,Ömer YILMAZ,5c7cf694039b847f6a382c0a,17/Jan/26 2:01 AM,17/Jan/26 2:01 AM,,,,0,"*As a* user
*I want* more power-ups to help my sessions
*So that* I have more strategic options

*Acceptance Criteria:*

* At least 3 new power-up types available
* Power-ups earnable through gameplay
* Clear UI for selecting and using power-ups
* Effects properly applied during sessions

*New Power-Up Types:*

* Double Collection: 2x animal chance
* Rarity Boost: Increase rare+ drop rates
* Focus Multiplier: Earn bonus focus minutes
* Immunity Shield: Session can't fail
* Time Warp: Reduce session time slightly",,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@591861ea,,,,{},,,,,,,,,,,,,,0|i003iv:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,17/Jan/26 2:01 AM
Add session tags and categories,OVOFOCUS-30,10725,Story,Backlog,OVOFOCUS,OvoFocus,software,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,Medium,,,,Ömer YILMAZ,5c7cf694039b847f6a382c0a,Ömer YILMAZ,5c7cf694039b847f6a382c0a,17/Jan/26 2:01 AM,17/Jan/26 2:01 AM,,,,0,"*As a* user
*I want* to tag my sessions by category
*So that* I can track time spent on different activities

*Acceptance Criteria:*

* Preset tags (Work, Study, Creative, Personal)
* Custom tags supported
* Filter statistics by tag
* Color-code sessions by category
* Track time per category
* Quick tag selection before starting",,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3b0d44e,,,,{},,,,,,,,,,,,,,0|i003hz:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,17/Jan/26 2:01 AM
Add Focus Mode / Do Not Disturb integration,OVOFOCUS-28,10723,Story,Backlog,OVOFOCUS,OvoFocus,software,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,Medium,,,,Ömer YILMAZ,5c7cf694039b847f6a382c0a,Ömer YILMAZ,5c7cf694039b847f6a382c0a,17/Jan/26 2:01 AM,17/Jan/26 2:01 AM,,,,0,"*As a* user
*I want* Do Not Disturb to activate automatically during sessions
*So that* I'm not interrupted while focusing

*Acceptance Criteria:*

* Auto-enable DND when session starts (with permission)
* Integrate with iOS Focus Modes
* Integrate with Android Focus Mode
* Restore previous DND state after session
* Can be disabled in settings",,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@62f5927d,,,,{},,,,,,,,,,,,,,0|i003hj:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,17/Jan/26 2:01 AM
Integrate with Apple Health and Google Fit,OVOFOCUS-27,10722,Story,Backlog,OVOFOCUS,OvoFocus,software,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,Medium,,,,Ömer YILMAZ,5c7cf694039b847f6a382c0a,Ömer YILMAZ,5c7cf694039b847f6a382c0a,17/Jan/26 2:01 AM,17/Jan/26 2:01 AM,,,,0,"*As a* user
*I want* my focus time to sync with health apps
*So that* I can track mindfulness alongside other health data

*Acceptance Criteria:*

* Sync to Apple HealthKit as mindfulness minutes
* Sync to Google Fit as focus time
* Permissions requested appropriately
* Data appears in Health/Fit apps
* Can be disabled in settings
* Historical data can be synced",,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@126cc318,,,,{},,,,,,,,,,,,,,0|i003hb:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,17/Jan/26 2:01 AM
Add Apple Watch and Wear OS companion apps,OVOFOCUS-26,10721,Story,Backlog,OVOFOCUS,OvoFocus,software,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,Medium,,,,Ömer YILMAZ,5c7cf694039b847f6a382c0a,Ömer YILMAZ,5c7cf694039b847f6a382c0a,17/Jan/26 2:01 AM,17/Jan/26 2:01 AM,,,,0,"*As a* user
*I want* to control focus sessions from my smartwatch
*So that* I can start/pause without reaching for my phone

*Acceptance Criteria:*

* Apple Watch app with timer display
* Wear OS app with timer display
* Sync session state with phone
* Haptic notifications on watch
* Quick start/pause from watch
* Battery efficient implementation",,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@27962714,,,,{},,,,,,,,,,,,,,0|i003h3:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,17/Jan/26 2:01 AM
Add iOS and Android home screen widgets,OVOFOCUS-25,10706,Story,Backlog,OVOFOCUS,OvoFocus,software,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,Medium,,,,Ömer YILMAZ,5c7cf694039b847f6a382c0a,Ömer YILMAZ,5c7cf694039b847f6a382c0a,17/Jan/26 2:00 AM,17/Jan/26 2:00 AM,,,,0,"*As a* user
*I want* a widget showing my streak and progress
*So that* I can see my status without opening the app

*Acceptance Criteria:*

* iOS widget with streak/daily progress
* Android widget with quick start button
* Multiple widget sizes supported
* Data updates reliably
* Deep link to app from widget
* Shows current animal or egg status",,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1a73aede,,,,{},,,,,,,,,,,,,,0|i003fb:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,17/Jan/26 2:00 AM
Add multiplayer focus rooms,OVOFOCUS-20,10701,Story,Backlog,OVOFOCUS,OvoFocus,software,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,Medium,,,,Ömer YILMAZ,5c7cf694039b847f6a382c0a,Ömer YILMAZ,5c7cf694039b847f6a382c0a,17/Jan/26 2:00 AM,17/Jan/26 2:00 AM,,,,0,"*As a* user
*I want* to focus together with friends in real-time
*So that* I feel accountable and supported

*Acceptance Criteria:*

* Create/join focus rooms with friends
* See friends' session progress in real-time
* Group completion celebration
* Handles connection drops gracefully
* Room history and stats

*Features:*

* Room codes for easy joining
* Live progress indicators
* Group chat during breaks
* Shared rewards for group completion",,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2ee6de78,,,,{},,,,,,,,,,,,,,0|i003e7:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,17/Jan/26 2:00 AM
Add leaderboards for competitive engagement,OVOFOCUS-19,10700,Story,Backlog,OVOFOCUS,OvoFocus,software,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,Medium,,,,Ömer YILMAZ,5c7cf694039b847f6a382c0a,Ömer YILMAZ,5c7cf694039b847f6a382c0a,17/Jan/26 2:00 AM,17/Jan/26 2:00 AM,,,,0,"*As a* user
*I want* to see how I rank against others
*So that* I'm motivated to improve my focus habits

*Acceptance Criteria:*

* Global leaderboards (streaks, focus time, collection)
* Friend-only leaderboards
* Weekly and monthly competitions
* Rankings update in real-time
* Opt-out option for privacy

*Leaderboard Categories:*

* Longest current streak
* Total focus time (week/month/all-time)
* Collection completion %
* Sessions completed",,Ömer YILMAZ,5c7cf694039b847f6a382c0a,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@30d087de,,,,{},,,,,,,,,,,,,,0|i003dz:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,17/Jan/26 2:00 AM
